x,y,t,type,id
380,537,1436206022540,m,717
372,535,1436206022551,m,717
363,537,1436206022560,m,717
356,537,1436206022571,m,717
349,540,1436206022581,m,717
341,540,1436206022590,m,717
335,545,1436206022601,m,717
330,545,1436206022611,m,717
326,549,1436206022621,m,717
322,551,1436206022632,m,717
321,553,1436206022641,m,717
317,555,1436206022652,m,717
316,558,1436206022662,m,717
312,562,1436206022671,m,717
311,565,1436206022682,m,717
308,568,1436206022692,m,717
307,570,1436206022703,m,717
306,572,1436206022713,m,717
306,572,1436206022722,m,717
306,572,1436206022895,m,717
306,573,1436206022905,m,717
306,574,1436206022916,m,717
306,574,1436206022925,m,717
306,574,1436206022932,m,717
306,577,1436206022945,m,717
306,579,1436206022957,m,717
305,579,1436206022967,m,717
305,579,1436206022977,m,717
305,579,1436206022986,m,717
305,579,1436206022996,m,717
305,579,1436206023007,m,717
304,579,1436206023038,m,717
304,579,1436206023047,m,717
304,579,1436206023058,m,717
304,580,1436206023067,m,717
303,583,1436206023077,m,717
303,583,1436206023084,m,717
299,586,1436206023097,m,717
298,588,1436206023108,m,717
298,590,1436206023118,m,717
298,590,1436206023129,m,717
297,590,1436206023139,m,717
297,590,1436206023149,m,717
297,590,1436206023160,m,717
297,590,1436206023169,m,717
297,590,1436206023231,m,717
297,590,1436206023281,m,717
297,590,1436206023301,m,717
297,590,1436206023311,m,717
297,591,1436206023433,m,717
296,591,1436206023464,m,717
296,591,1436206023514,m,717
296,591,1436206023554,m,717
296,590,1436206023585,m,717
296,590,1436206023676,m,717
296,589,1436206023685,m,717
296,589,1436206023696,m,717
296,589,1436206023706,m,717
296,158,1436206025947,c,717
295,588,1436206023717,m,717
295,588,1436206023727,m,717
295,587,1436206023736,m,717
294,587,1436206023747,m,717
294,587,1436206023757,m,717
293,587,1436206023768,m,717
293,585,1436206023778,m,717
292,585,1436206023787,m,717
292,585,1436206023798,m,717
292,585,1436206023819,m,717
292,585,1436206023859,m,717
292,585,1436206023889,m,717
291,583,1436206023899,m,717
290,581,1436206023909,m,717
288,580,1436206023919,m,717
287,580,1436206023930,m,717
287,578,1436206023939,m,717
286,578,1436206023950,m,717
285,578,1436206023959,m,717
285,578,1436206023980,m,717
285,577,1436206023990,m,717
285,576,1436206024001,m,717
285,576,1436206024010,m,717
285,573,1436206024020,m,717
285,572,1436206024031,m,717
285,571,1436206024040,m,717
285,569,1436206024050,m,717
285,568,1436206024061,m,717
285,567,1436206024070,m,717
285,566,1436206024081,m,717
285,565,1436206024092,m,717
