x,y,t,type,id
91,197,1435968817237,m,472
105,198,1435968817245,m,472
121,198,1435968817253,m,472
138,197,1435968817261,m,472
158,197,1435968817269,m,472
180,197,1435968817277,m,472
206,197,1435968817285,m,472
232,197,1435968817293,m,472
258,197,1435968817301,m,472
283,197,1435968817309,m,472
304,197,1435968817317,m,472
320,197,1435968817325,m,472
333,197,1435968817333,m,472
340,198,1435968817341,m,472
344,198,1435968817349,m,472
344,199,1435968817357,m,472
346,200,1435968817373,m,472
349,201,1435968817381,m,472
358,203,1435968817389,m,472
373,203,1435968817397,m,472
394,201,1435968817405,m,472
422,201,1435968817413,m,472
449,199,1435968817421,m,472
2,-,1435968815759,h,472
0,-,1435968816262,h,472
1,-,1435968816422,h,472
2,-,1435968816591,h,472
421,206,1435968820173,c,472
554,255,1435968820463,c,472
459,201,1435968820030,m,472
442,203,1435968820037,m,472
431,203,1435968820045,m,472
427,203,1435968820053,m,472
426,204,1435968820069,m,472
425,204,1435968820077,m,472
423,205,1435968820085,m,472
422,205,1435968820093,m,472
421,206,1435968820101,m,472
423,207,1435968820197,m,472
423,208,1435968820205,m,472
425,212,1435968820213,m,472
428,216,1435968820221,m,472
432,223,1435968820229,m,472
436,227,1435968820237,m,472
437,232,1435968820245,m,472
438,237,1435968820253,m,472
439,241,1435968820261,m,472
441,246,1435968820269,m,472
443,249,1435968820277,m,472
444,253,1435968820285,m,472
446,256,1435968820293,m,472
448,257,1435968820300,m,472
464,258,1435968820317,m,472
479,258,1435968820325,m,472
500,257,1435968820333,m,472
521,257,1435968820341,m,472
535,257,1435968820349,m,472
544,257,1435968820357,m,472
550,255,1435968820365,m,472
555,255,1435968820373,m,472
554,255,1435968820461,m,472
553,255,1435968820533,m,472
552,255,1435968820541,m,472
549,256,1435968820549,m,472
547,256,1435968820557,m,472
543,257,1435968820565,m,472
537,258,1435968820573,m,472
520,262,1435968820600,m,472
517,262,1435968820605,m,472
516,261,1435968820612,m,472
515,260,1435968820621,m,472
514,260,1435968820629,m,472
